Quantidade
1
1
1
1
1
2
3
2
3
1
3
3
1
1
2
1
4
3
2
2
5
3
10
6
6
8
5
6
9
9
8
14
8
8
7
8
7
14
12
15
14
16
16
14
16
15
26
26
26
30
32
39
39
50
59
75
69
99
101
125
119
150
183
224
340
562
646
624
488
379
4
