MOVIE,TV SHOW,Total,Percentual
45,1,46,0.9559434746467166
49,1,50,1.0390689941812137
5,0,5,0.10390689941812137
2,0,2,0.04156275976724855
5,1,6,0.12468827930174563
43,4,47,0.9767248545303407
5,0,5,0.10390689941812137
2,0,2,0.04156275976724855
151,4,155,3.221113881961762
17,0,17,0.35328345802161265
45,2,47,0.9767248545303407
11,2,13,0.27015793848711556
1,0,1,0.020781379883624274
3,0,3,0.062344139650872814
14,2,16,0.3325020781379884
91,0,91,1.8911055694098087
2,0,2,0.04156275976724855
129,4,133,2.763923524522028
1,0,1,0.020781379883624274
60,0,60,1.2468827930174564
4,0,4,0.0831255195344971
1,0,1,0.020781379883624274
73,0,73,1.517040731504572
4,0,4,0.0831255195344971
3,0,3,0.062344139650872814
858,6,864,17.955112219451372
73,0,73,1.517040731504572
1,0,1,0.020781379883624274
17,0,17,0.35328345802161265
11,0,11,0.228595178719867
34,4,38,0.7896924355777223
1,0,1,0.020781379883624274
71,10,81,1.683291770573566
3,0,3,0.062344139650872814
4,0,4,0.0831255195344971
13,0,13,0.27015793848711556
16,0,16,0.3325020781379884
71,3,74,1.5378221113881962
1,0,1,0.020781379883624274
17,0,17,0.35328345802161265
13,0,13,0.27015793848711556
62,3,65,1.3507896924355778
10,0,10,0.20781379883624274
17,1,18,0.3740648379052369
1,0,1,0.020781379883624274
4,0,4,0.0831255195344971
74,0,74,1.5378221113881962
18,1,19,0.39484621778886114
2,0,2,0.04156275976724855
9,0,9,0.18703241895261846
4,1,5,0.10390689941812137
6,1,7,0.14546965918536992
3,0,3,0.062344139650872814
10,0,10,0.20781379883624274
1,0,1,0.020781379883624274
1,0,1,0.020781379883624274
29,0,29,0.6026600166251039
38,10,48,0.997506234413965
1,0,1,0.020781379883624274
105,7,112,2.3275145469659186
6,0,6,0.12468827930174563
6,0,6,0.12468827930174563
11,7,18,0.3740648379052369
37,3,40,0.8312551953449709
76,5,81,1.683291770573566
17,0,17,0.35328345802161265
289,22,311,6.463009143807148
1856,30,1886,39.193682460515376
7,0,7,0.14546965918536992
1,0,1,0.020781379883624274
5,0,5,0.10390689941812137
1,0,1,0.020781379883624274
